
2024/10/26 (14:51:06) | INFO: Running on /dev/pts/0
2024/10/26 (14:51:06) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:51:46) | INFO: Quitting! Runtime: 00:00:40

2024/10/26 (14:51:47) | ===> btop++ v.1.2.13
2024/10/26 (14:51:47) | INFO: Logger set to DEBUG
2024/10/26 (14:51:47) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:51:47) | INFO: Running on /dev/pts/0
2024/10/26 (14:51:47) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:52:31) | ===> btop++ v.1.2.13
2024/10/26 (14:52:31) | INFO: Logger set to DEBUG
2024/10/26 (14:52:31) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:52:31) | INFO: Running on /dev/pts/0
2024/10/26 (14:52:31) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:52:57) | ===> btop++ v.1.2.13
2024/10/26 (14:52:57) | INFO: Logger set to DEBUG
2024/10/26 (14:52:57) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:52:57) | INFO: Running on /dev/pts/0
2024/10/26 (14:52:57) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:53:54) | ===> btop++ v.1.2.13
2024/10/26 (14:53:54) | INFO: Logger set to DEBUG
2024/10/26 (14:53:54) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:53:54) | INFO: Running on /dev/pts/0
2024/10/26 (14:53:54) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme
2024/10/26 (14:55:05) | DEBUG: Writing new config file
2024/10/26 (14:55:05) | INFO: Quitting! Runtime: 00:01:11

2024/10/26 (14:55:06) | ===> btop++ v.1.2.13
2024/10/26 (14:55:06) | INFO: Logger set to DEBUG
2024/10/26 (14:55:06) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:55:06) | INFO: Running on /dev/pts/0
2024/10/26 (14:55:06) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:56:28) | ===> btop++ v.1.2.13
2024/10/26 (14:56:28) | INFO: Logger set to DEBUG
2024/10/26 (14:56:28) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:56:28) | INFO: Running on /dev/pts/0
2024/10/26 (14:56:28) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:57:04) | ===> btop++ v.1.2.13
2024/10/26 (14:57:04) | INFO: Logger set to DEBUG
2024/10/26 (14:57:04) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:57:04) | INFO: Running on /dev/pts/0
2024/10/26 (14:57:04) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:57:35) | ===> btop++ v.1.2.13
2024/10/26 (14:57:35) | INFO: Logger set to DEBUG
2024/10/26 (14:57:35) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:57:35) | INFO: Running on /dev/pts/0
